code_commune_insee;nom_de_la_commune;code_postal;ligne_5;libelle_d_acheminement;coordonnees_gps
54590;VIVIERS SUR CHIERS;54260;REVEMONT;VIVIERS SUR CHIERS;49.465549291,5.631168617
37250;SORIGNY;37250;;SORIGNY;47.23136876,0.686829377
08368;ROIZY;08190;;ROIZY;49.426334471,4.185209195
36108;LYS ST GEORGES;36230;;LYS ST GEORGES;46.645773267,1.8171293880000001
12229;ST JEAN D ALCAPIES;12250;;ST JEAN D ALCAPIES;43.948525718,2.967265852
54594;XAMMES;54470;;XAMMES;48.977812053,5.848716074
37254;TAUXIGNY ST BAULD;37310;ST BAULD;TAUXIGNY ST BAULD;47.204402854,0.830091369
08373;RUMIGNY;08290;;RUMIGNY;49.804429556,4.2708855119999996
36116;MENETREOLS SOUS VATAN;36150;;MENETREOLS SOUS VATAN;47.008937421,1.835053454
12234;STE JULIETTE SUR VIAUR;12120;;STE JULIETTE SUR VIAUR;44.218819416,2.501142354
54595;XERMAMENIL;54300;;XERMAMENIL;48.539516391,6.477674172
37257;THILOUZE;37260;;THILOUZE;47.220221451,0.600694407
08379;ST ETIENNE A ARNES;08310;;ST ETIENNE A ARNES;49.307876022,4.510683322
36117;LE MENOUX;36200;;LE MENOUX;46.55814232,1.574319336
12236;ST LAURENT DE LEVEZOU;12620;;ST LAURENT DE LEVEZOU;44.209332553,2.938385469
54602;HAN DEVANT PIERREPONT;54620;;HAN DEVANT PIERREPONT;49.396400893,5.711016224
37258;THIZAY;37500;;THIZAY;47.163896103,0.141646925
08380;ST FERGEUX;08360;;ST FERGEUX;49.573230304,4.201099291
36122;MEUNET SUR VATAN;36150;;MEUNET SUR VATAN;47.091400169,1.8591167620000002
12237;ST LAURENT D OLT;12560;;ST LAURENT D OLT;44.448222862,3.101084589
55005;AMANTY;55130;;AMANTY;48.515476429,5.604950119
37259;TOURNON ST PIERRE;37290;;TOURNON ST PIERRE;46.761193315,0.9461356750000001
08383;ST JUVIN;08250;;ST JUVIN;49.337354639,4.953298709
36133;MOUHERS;36340;;MOUHERS;46.563221813,1.7795879650000002
12240;ST PARTHEM;12300;;ST PARTHEM;44.633515989,2.291632823
55008;AMEL SUR L ETANG;55230;;AMEL SUR L ETANG;49.257113525,5.6470179510000005
37261;TOURS;37100;;TOURS;47.398410522,0.6961002820000001
08388;ST MARCEAU;08160;;ST MARCEAU;49.70666177,4.719985639
36138;NERET;36400;;NERET;46.572544339,2.14095443
12255;SALMIECH;12120;;SALMIECH;44.193954111,2.5875771910000003
55018;AUTREVILLE ST LAMBERT;55700;;AUTREVILLE ST LAMBERT;49.562995945,5.135098322
37262;TROGUES;37220;;TROGUES;47.111254593,0.5106705500000001
08390;STE MARIE;08400;;STE MARIE;49.371588958,4.671258267
36145;OBTERRE;36290;;OBTERRE;46.907379714,1.062818389
12257;CAUSSE ET DIEGE;12700;GELLE;CAUSSE ET DIEGE;44.52865099,2.034102007
55021;AVILLERS STE CROIX;55210;;AVILLERS STE CROIX;49.034123929,5.703648158
37263;TRUYES;37320;;TRUYES;47.285745197,0.8508513830000001
08392;ST MOREL;08400;;ST MOREL;49.338803272,4.698018758
36152;PAUDY;36260;;PAUDY;47.034453313,1.9203856
12259;SANVENSA;12200;;SANVENSA;44.284456247,2.03998476
55023;AVOCOURT;55270;;AVOCOURT;49.203015845,5.142424732
37266;VEIGNE;37250;;VEIGNE;47.289060756,0.730805864
08399;SAPOGNE SUR MARCHE;08370;;SAPOGNE SUR MARCHE;49.598442594,5.314275379
36161;LE PONT CHRETIEN CHABENET;36800;;LE PONT CHRETIEN CHABENET;46.628602821,1.501054845
12261;SAUJAC;12260;;SAUJAC;44.478542625,1.901739632
55024;AZANNES ET SOUMAZANNES;55150;;AZANNES ET SOUMAZANNES;49.293424199,5.468050861
37280;VOU;37240;;VOU;47.093965633,0.8468995840000001
08401;SAULCES CHAMPENOISES;08130;;SAULCES CHAMPENOISES;49.446723699,4.504298625
36162;POULAINES;36210;;POULAINES;47.149814779,1.644676065
12270;SEVERAC D AVEYRON;12150;BUZEINS;SEVERAC D AVEYRON;44.31842852,3.042005637
55026;BADONVILLIERS GERAUVILLIERS;55130;;BADONVILLIERS GERAUVILLIERS;48.54420794,5.577196943
38001;LES ABRETS EN DAUPHINE;38490;LES ABRETS;LES ABRETS EN DAUPHINE;45.533709312,5.587913668
08405;SAUVILLE;08390;;SAUVILLE;49.550945074,4.7871754200000005
36163;POULIGNY NOTRE DAME;36160;;POULIGNY NOTRE DAME;46.473051815,2.007068727
12273;SOULAGES BONNEVAL;12210;;SOULAGES BONNEVAL;44.676972577,2.77476936
55040;BEAUSITE;55250;DEUXNOUDS DEVANT BEAUZEE;BEAUSITE;48.967332293,5.212886121
38003;AGNIN;38150;;AGNIN;45.336168878,4.8603340710000005
08411;SEMUY;08130;;SEMUY;49.495835827,4.663121817
36168;PRISSAC;36370;;PRISSAC;46.524631998,1.298692082
12274;SYLVANES;12360;;SYLVANES;43.824893956,2.952637092
55046;BENEY EN WOEVRE;55210;;BENEY EN WOEVRE;48.961503993,5.806738078
38006;ALLEVARD;38580;;ALLEVARD;45.380219092,6.11347007
08413;SERAINCOURT;08220;;SERAINCOURT;49.622200095,4.187125185
36172;RIVARENNES;36800;;RIVARENNES;46.6139666,1.379551444
12275;TAURIAC DE CAMARES;12360;;TAURIAC DE CAMARES;43.776199409,3.030909118
55058;BONCOURT SUR MEUSE;55200;;BONCOURT SUR MEUSE;48.808040932,5.585273946
38008;AMBEL;38970;;AMBEL;44.800072796,5.933301697
08416;SEUIL;08300;;SEUIL;49.47428736,4.452259725
36173;ROSNAY;36300;;ROSNAY;46.708243297,1.206668406
12280;THERONDELS;12600;;THERONDELS;44.895123006,2.74183731
55060;BONZEE;55160;MESNIL SOUS LES COTES;BONZEE;49.090231819,5.565278868
38017;ASSIEU;38150;;ASSIEU;45.409925388,4.877766936
08419;SIGNY L ABBAYE;08460;;SIGNY L ABBAYE;49.703218325,4.404388719
36180;ST AOUT;36120;;ST AOUT;46.725882557,1.962703601
13002;ALLAUCH;13190;LE LOGIS NEUF;ALLAUCH;43.353259041,5.5113703560000005
55066;BOVEE SUR BARBOURE;55190;;BOVEE SUR BARBOURE;48.637198216,5.50955708
38023;AVIGNONET;38650;;AVIGNONET;44.957494383,5.673337936
08419;SIGNY L ABBAYE;08460;LIBRECY;SIGNY L ABBAYE;49.703218325,4.404388719
36182;ST BENOIT DU SAULT;36170;;ST BENOIT DU SAULT;46.447797287,1.40038083
13007;AURIOL;13390;;AURIOL;43.360824036,5.658498886
55072;BRAQUIS;55400;;BRAQUIS;49.156206275,5.628679632
38029;LA BATIE MONTGASCON;38110;;LA BATIE MONTGASCON;45.575543866,5.542466381
08424;SOMMAUTHE;08240;;SOMMAUTHE;49.502534133,4.9865446680000005
36208;STE SEVERE SUR INDRE;36160;;STE SEVERE SUR INDRE;46.504295284,2.068057227
13008;AURONS;13121;;AURONS;43.671408402,5.14893774
55080;BRIXEY AUX CHANOINES;55140;;BRIXEY AUX CHANOINES;48.472980888,5.715536129
38031;BEAUFIN;38970;;BEAUFIN;44.787134828,5.9590413820000006
08430;STONNE;08390;;STONNE;49.549378922,4.922633585
36209;ST VALENTIN;36100;;ST VALENTIN;46.962173997,1.8519516980000001
13013;BELCODENE;13720;;BELCODENE;43.421806693,5.584397782
55089;BUREY LA COTE;55140;;BUREY LA COTE;48.500058919,5.685158854
38032;BEAUFORT;38270;;BEAUFORT;45.329269111,5.116240746
08433;SUZANNE;08130;;SUZANNE;49.519188377,4.639000766
36215;SEGRY;36100;;SEGRY;46.884832112,2.095921835
13015;BOUC BEL AIR;13320;;BOUC BEL AIR;43.447273393,5.412533849
55095;CESSE;55700;;CESSE;49.508836615,5.143687364
38041;BESSINS;38160;;BESSINS;45.20431874,5.264217615
08437;TAILLY;08240;BARRICOURT;TAILLY;49.40748878,5.06855392
36216;SELLES SUR NAHON;36180;;SELLES SUR NAHON;47.017658018,1.455339254
13016;LA BOUILLADISSE;13720;;LA BOUILLADISSE;43.397035096,5.620221036
55108;CHAUMONT SUR AIRE;55260;;CHAUMONT SUR AIRE;48.925605185,5.2699109
38043;BILIEU;38850;;BILIEU;45.445926564,5.549972498
08460;TREMBLOIS LES ROCROI;08150;;TREMBLOIS LES ROCROI;49.844964848000004,4.500137157
36222;THIZAY;36100;;THIZAY;46.898833606,1.9287608710000002
13016;LA BOUILLADISSE;13720;LE PIGEONNIER;LA BOUILLADISSE;43.397035096,5.620221036
55123;LES HAUTS DE CHEE;55000;LES MARATS;LES HAUTS DE CHEE;48.868530572,5.165753289
38044;BIOL;38690;;BIOL;45.496095541,5.369251503
08461;VANDY;08400;;VANDY;49.440703557,4.717054053
36225;LE TRANGER;36700;;LE TRANGER;46.97300803,1.246000157
13016;LA BOUILLADISSE;13720;LES BOYERS;LA BOUILLADISSE;43.397035096,5.620221036
55124;CONSENVOYE;55110;;CONSENVOYE;49.295492468,5.310956776
38054;BOUVESSE QUIRIEU;38390;;BOUVESSE QUIRIEU;45.783863931,5.415489616
